epsilon_L,epsilon_R,lambda,TUR,I,I_var,J_QH,P,eff,sigma,omega,u_intra,u_inter,V_B,gammaL,gammaR,T_L,T_R
-77.777778,-76.777778,1.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,1.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,1.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,1.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,1.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
33.333333,34.333333,1.0,3.292137,0.000521,0.000584,0.03065,0.026053,0.850032,0.001532,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,1.0,22.91368,6e-05,6e-05,0.004894,0.00302,0.617051,0.001385,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,1.0,42.924707,7e-06,7e-06,0.000676,0.000327,0.484248,0.000281,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,1.0,62.927072,1e-06,1e-06,8.9e-05,3.5e-05,0.398486,4.5e-05,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.0,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.0,3.299658,1.1e-05,1.3e-05,0.000657,0.000558,0.850227,3.3e-05,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.0,22.914703,1e-06,1e-06,0.000105,6.5e-05,0.617154,3e-05,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.0,42.915232,0.0,0.0,1.5e-05,7e-06,0.484312,6e-06,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.0,62.915339,0.0,0.0,2e-06,1e-06,0.398529,1e-06,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.090909,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.090909,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.090909,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.090909,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.090909,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.090909,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
33.333333,34.333333,0.090909,3.640243,1.7e-05,1.8e-05,0.000991,0.000835,0.842573,5.7e-05,0.105,500,300,50,0.1,0.105,10,1
55.555556,56.555556,0.090909,23.406969,2e-06,2e-06,0.000154,9.4e-05,0.613014,4.4e-05,0.105,500,300,50,0.1,0.105,10,1
77.777778,78.777778,0.090909,43.407622,0.0,0.0,2.1e-05,1e-05,0.481759,9e-06,0.105,500,300,50,0.1,0.105,10,1
100.0,101.0,0.090909,63.40776,0.0,0.0,3e-06,1e-06,0.396798,1e-06,0.105,500,300,50,0.1,0.105,10,1
-100.0,-99.0,0.181818,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-77.777778,-76.777778,0.181818,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-55.555556,-54.555556,0.181818,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-33.333333,-32.333333,0.181818,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
-11.111111,-10.111111,0.181818,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
11.111111,12.111111,0.181818,,,,,,,,0.105,500,300,50,0.1,0.105,10,1
